region,year,state,state_po,candidate,party,candidatevotes,totalvotes,number_members,prop_votes,mean_votes,avg_members,correlation,decade,regional_mean_votes,regional_mean_members
midwest,1980,Indiana,IN,"Reagan, Ronald",republican,1255656,2242033,29.5,0.5600524167128673,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Indiana,IN,"Carter, Jimmy",democrat,844197,2242033,29.5,0.3765319243739945,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Iowa,IA,"Reagan, Ronald",republican,676026,1317661,24.3,0.5130500181761469,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Iowa,IA,"Carter, Jimmy",democrat,508672,1317661,24.3,0.3860416298273987,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Kansas,KS,"Reagan, Ronald",republican,566812,979795,13.7,0.578500604718334,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
midwest,1980,Kansas,KS,"Carter, Jimmy",democrat,326150,979795,13.7,0.33287575462214036,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.45834472172568824,23.633333333333333
south,1980,Kentucky,KY,"Reagan, Ronald",republican,635274,1295627,21.2,0.4903216743707873,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Kentucky,KY,"Carter, Jimmy",democrat,617417,1295627,21.2,0.4765391582608266,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Louisiana,LA,"Reagan, Ronald",republican,792853,1548591,13.2,0.5119834740095996,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Louisiana,LA,"Carter, Jimmy",democrat,708453,1548591,13.2,0.45748231779727505,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
northeast,1980,Maine,ME,"Reagan, Ronald",republican,238522,523011,21.4,0.45605541757247936,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.4339271192117912,24.655555555555555
northeast,1980,Maine,ME,"Carter, Jimmy",democrat,220974,523011,21.4,0.42250354199051265,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.4339271192117912,24.655555555555555
south,1980,Maryland,MD,"Carter, Jimmy",democrat,726161,1540496,22.6,0.4713812953749961,0.399110748522423,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
south,1980,Maryland,MD,"Reagan, Ronald",republican,680606,1540496,22.6,0.44180965091762653,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.47786121457310843,15.975
northeast,1980,Massachusetts,MA,"Reagan, Ronald",republican,1057631,2524090,23.3,0.41901477364119344,0.5130810965849188,21.198039215686276,-0.07473561955081523,1980s,0.4339271192117912,24.655555555555555
